customer_id,age,income,education,region,email_campaign,monthly_spend,customer_feedback
1,34,52000,bachelors,North,1,245.30,"Great product, very satisfied with the service"
2,28,45000,masters,South,0,198.50,"Product is okay, could be improved"
3,45,65000,bachelors,East,1,278.90,"Excellent quality, will recommend to others"
4,38,58000,highschool,West,0,203.20,"Average experience, nothing special"
5,29,47000,masters,North,1,265.80,"Outstanding service and quick delivery"
6,52,72000,phd,South,0,189.60,"Product didn't meet my expectations"
7,31,49000,bachelors,East,1,254.70,"Good value for money, satisfied"
8,42,61000,masters,West,0,212.40,"Quality is acceptable for the price"
9,36,55000,bachelors,North,1,289.10,"Exceeded my expectations, will buy again"
10,33,51000,highschool,South,0,195.80,"Decent product but shipping was slow"
11,40,59000,masters,East,1,267.50,"Professional service, highly recommended"
12,27,44000,bachelors,West,0,201.30,"Product works as advertised"
13,48,68000,phd,North,1,291.20,"Premium quality, worth the investment"
14,35,54000,masters,South,0,204.70,"Good but not exceptional"
15,30,48000,bachelors,East,1,258.40,"Fast delivery and excellent customer support"
